,词语,情感分类,得分
7539,软绵绵,NN,0.0
7540,擢用,PH,1.0
7541,光天化日,PH,5.0
7542,精练,PH,3.0
7543,真情,PB,7.0
7544,深刻,PH,3.0
7545,奴才,NN,-3.0
7546,赏心悦目,PH,7.0
7547,文不加点,PH,9.0
7548,和缓,PE,0.0
7549,助人为乐,PH,5.0
7550,扶掖,PD,3.0
7551,祸根,NN,-5.0
7552,美味,PH,5.0
7553,开心,PA,5.0
7554,万死不辞,PD,0.0
7555,侵害,NN,-5.0
7556,优质,PH,3.0
7557,英雄,PH,7.0
7558,败坏,NN,-5.0
7559,正规,PH,3.0
7560,粗豪,PH,3.0
7561,松松垮垮,NN,-7.0
7562,虚应故事,NN,-5.0
7563,神魂颠倒,NN,-3.0
7564,巩固,NN,-7.0
7565,超人,PH,3.0
7566,展望,PA,0.0
7567,娇滴滴,NN,-7.0
7568,好笑,NN,-5.0
7569,夫子,NN,-3.0
7570,旁若无人,NN,-3.0
7571,对劲,PB,0.0
7572,手下留情,PK,0.0
7573,癫狂,NN,-3.0
7574,鸡飞蛋打,NN,-7.0
7575,骇然,PC,0.0
7576,带劲,PA,0.0
7577,完蛋,ND,-5.0
7578,真正,PG,5.0
7579,间不容发,NC,0.0
7580,真心,PB,5.0
7581,权威,PG,5.0
7582,上进,PA,3.0
7583,繁杂,NE,-3.0
7584,开心,NN,-3.0
7585,靠不住,NN,-3.0
7586,情分,PH,3.0
7587,遒劲,PH,3.0
7588,诛求,NN,-7.0
7589,专擅,NN,-5.0
7590,坐监,NN,-7.0
7591,肩荷,PG,1.0
7592,鉴定,PG,5.0
7593,交情,PH,1.0
7594,重任,PG,0.0
7595,纵情,PA,7.0
7596,一叶知秋,PH,9.0
7597,玄奥,NN,-9.0
7598,过气,NN,-5.0
7599,呵叱,NN,-5.0
7600,捏一把汗,NE,0.0
7601,破口大骂,NN,0.0
7602,奠祭,PF,0.0
7603,窘涩,NG,0.0
7604,貌似真实的,NL,-3.0
7605,溺爱,NN,-5.0
7606,鼓舞,PH,5.0
7607,善心,PH,5.0
7608,高姿态,NN,-5.0
7609,不可逾越,NE,0.0
7610,单一,NN,0.0
7611,仇人,ND,0.0
7612,恭祝,PD,5.0
7613,固守,NN,-1.0
7614,人祸,NE,-5.0
7615,服服帖帖,PE,0.0
7616,贫贱,NB,-3.0
7617,万紫千红,PH,5.0
7618,平铺直叙,NN,-3.0
7619,淡薄,PE,0.0
7620,冤家,PB,0.0
7621,借重,PD,5.0
7622,病歪歪,ND,0.0
7623,波谲云诡,NC,0.0
7624,瘦弱,NN,-9.0
7625,不冷不热,NE,0.0
7626,好不容易,NE,0.0
7627,荒落,NB,0.0
7628,没意思,NE,0.0
7629,蛇蝎心肠,NN,0.0
7630,声名大振,PH,0.0
7631,尽兴,PA,0.0
7632,开颜,PA,0.0
7633,博爱,PB,0.0
7634,热衷,PB,0.0
