,词语,情感分类,得分
0,脏乱,NN,-7.0
1,糟报,NN,-5.0
2,早衰,NE,-5.0
3,责备,NN,-5.0
4,贼眼,NN,-5.0
5,战祸,ND,-5.0
6,招灾,NN,-5.0
7,折辱,NE,-5.0
8,中山狼,NN,-5.0
9,清峻,PH,0.0
10,清莹,PH,5.0
11,轻倩,PH,5.0
12,晴丽,PH,5.0
13,求索,PH,3.0
14,热潮,PH,5.0
15,仁政,PH,5.0
16,荣名,PH,5.0
17,柔腻,PH,5.0
18,瑞雪,PA,5.0
19,擅名,PD,7.0
20,神采,PA,5.0
21,省便,PH,5.0
22,盛开,PH,5.0
23,盛誉,PH,5.0
24,诗仙,PH,7.0
25,爽脆,PH,5.0
26,素洁,PH,3.0
27,诪张,NN,-5.0
28,株连,NN,-7.0
29,坠毁,NB,-5.0
30,滋生,NN,-5.0
31,自恃,NN,-5.0
32,走后门,NN,-5.0
33,阻力,NN,-3.0
34,罪状,NN,-9.0
35,做戏,NN,-7.0
36,甜头,PB,5.0
37,头名,PH,5.0
38,婉妙,PH,3.0
39,温淑,PB,1.0
40,稳厚,PH,3.0
41,沃壤,PH,5.0
42,无上,PH,5.0
43,喜人,PA,5.0
44,先贤,PD,5.0
45,鲜妍,PH,5.0
46,相称,PH,5.0
47,骁骑,PH,3.0
48,新巧,PH,5.0
49,新意,PH,5.0
50,信奉,PG,5.0
51,急智,PH,3.0
52,技艺,PH,3.0
53,雄劲,PH,3.0
54,雄肆,PH,3.0
55,秀俊,PH,5.0
56,煦煦,PH,5.0
57,勋绩,PH,5.0
58,雅淡,PH,5.0
59,雅兴,PH,5.0
60,严整,PH,5.0
61,泱泱,PH,5.0
62,怡悦,PA,5.0
63,义诊,PH,5.0
64,英发,PH,5.0
65,英伟,PH,5.0
66,莹润,PH,3.0
67,勇健,PH,3.0
68,优厚,PH,5.0
69,幽雅,PH,5.0
70,有识,PH,5.0
71,友邻,PH,5.0
72,玉人,PH,5.0
73,元勋,PH,5.0
74,佳句,PH,7.0
75,佳趣,PH,5.0
76,兼爱,PH,3.0
77,坚守,PH,7.0
78,简雅,PH,5.0
79,荐举,PG,7.0
80,见称,PH,7.0
81,见闻,PH,1.0
82,奖旗,PH,3.0
83,奖许,PH,7.0
84,姣丽,PH,5.0
85,娇丽,PH,5.0
86,骄子,PH,5.0
87,解惑,PH,3.0
88,津要,PH,5.0
89,金嗓子,PH,3.0
90,匀净,PH,3.0
91,赞词,PH,3.0
92,真纯,PH,3.0
93,箴言,PH,5.0
94,珍玩,PB,7.0
95,正理,PH,5.0
96,指导,PD,3.0
97,至理,PG,7.0
98,致敬,PD,5.0
99,智多星,PH,5.0
100,忠魂,PD,7.0
101,主力军,PH,5.0
102,准绳,PH,5.0
103,卓特,PH,7.0
104,进益,PA,5.0
105,奏凯,PA,5.0
106,尊服,PD,3.0
107,尽瘁,PH,5.0
108,精白,PH,3.0
109,精洁,PH,7.0
110,精妙,PH,5.0
111,精髓,PH,7.0
112,精要,PH,3.0
113,晶洁,PH,5.0
114,景观,PH,5.0
115,敬信,PD,7.0
116,救亡,PH,1.0
117,据实,PG,1.0
118,眷怀,PB,5.0
119,哀鸿遍野,NB,-7.0
120,肮里肮脏,NN,-5.0
121,冰炭不相容,ND,0.0
122,英姿飒爽,PH,9.0
123,有礼,PH,9.0
124,易如反掌,PH,9.0
125,为人正直,PH,9.0
126,心地纯良,PH,9.0
127,不成话,NN,-5.0
128,昭然若揭,NN,-9.0
129,有口无心,NN,-9.0
130,有眼力,PH,9.0
131,不干不净,NN,-3.0
132,异彩纷呈,PH,9.0
133,学富五车,PH,9.0
134,心灵美,PH,9.0
135,香馥馥,PH,9.0
136,味道好,PH,9.0
137,手脚不干净,NN,-9.0
138,索然寡味,NN,-9.0
139,死板板,NN,-9.0
140,松垮垮,NN,-9.0
141,危在旦夕,NC,-9.0
142,无纪律,NN,-9.0
143,无实质,NN,-9.0
144,险峭,NN,-1.0
145,不明不白,NE,-5.0
146,不清不白,NN,-7.0
147,不透明,NN,-3.0
148,不雅,NN,-3.0
149,不足为外人道,NN,-3.0
150,有勇气,PH,9.0
151,玄妙,NN,-9.0
152,长长短短,NN,0.0
153,罪恶多端,ND,-9.0
154,皱巴,ND,-9.0
155,朝不谋夕,NB,0.0
156,逞性子,NN,-7.0
157,臭名昭彰,NN,-9.0
158,寸草不生,NB,0.0
159,哀梨蒸食,NN,-7.0
160,刀光剑影,NC,0.0
161,度量小,NN,-7.0
162,翻云覆雨,NN,-5.0
163,风刀霜剑,NB,0.0
164,腐化堕落,NN,-9.0
165,高不成低不就,NN,-3.0
166,孤单单,NB,-5.0
167,寡断,NN,-7.0
168,乖剌,NN,-7.0
169,含糊不清,NN,-5.0
170,毫不客气,NN,-5.0
171,黑森森,NC,0.0
172,胡子拉碴,NN,-3.0
173,荒诞派,NN,-7.0
174,荒淫无度,NN,-9.0
175,灰蒙蒙,NE,0.0
176,智能型,PH,5.0
177,晦暝,NC,-7.0
178,谆谆,PD,5.0
179,昏黑,NE,-3.0
180,铮亮,PH,3.0
181,鸾凤和鸣,PA,5.0
182,板脸,NE,0.0
183,抱疚,NH,-3.0
184,憋着一肚子气,NE,-7.0
185,愁惨,NE,-5.0
186,错愕,PC,-7.0
187,掉魂,NE,-7.0
188,发牢骚,NE,-3.0
189,烦神,NE,-5.0
190,忿忿不平,,-5.0
191,惶然不安,NC,-5.0
192,急死,NE,-7.0
193,介意,NE,0.0
194,举棋不定,NE,0.0
195,口诛笔伐,NN,-5.0
196,拉不下脸来,NE,0.0
197,骂得狗血喷头,NN,-7.0
198,怒火冲天,,0.0
199,气愤愤,,0.0
200,歉然,NN,0.0
201,人身攻击,NN,-5.0
202,数落,NN,0.0
203,痛责,NN,0.0
204,下不了台,NE,0.0
205,杏眼圆睁,PH,3.0
206,讶然失色,PC,0.0
207,怔神儿,PC,0.0
208,追悔莫及,NH,0.0
209,彷徨,NE,0.0
210,爱上,PB,0.0
211,高山仰止,PD,0.0
212,恨不得,NE,0.0
213,祭拜,PD,0.0
214,敬服,PD,0.0
215,看上眼,PB,0.0
216,梦魂萦绕,PF,0.0
217,安好,PE,1.0
218,如痴如狂,PB,0.0
219,安泰,PH,1.0
220,叹为观止,PC,7.0
221,忘乎所以,NN,0.0
222,尖嘴薄舌,NN,-5.0
223,艰苦卓绝,PH,7.0
224,心如铁石,NN,-7.0
225,见风转舵,NN,-7.0
226,叩拜,PD,0.0
227,倍儿棒,PH,7.0
228,竭蹶,NE,0.0
229,彪壮,ND,0.0
230,博闻广识,PH,5.0
231,不动摇,PH,0.0
232,不落俗套,PH,5.0
233,可骇,NC,-9.0
234,不泄气,PH,1.0
235,才气横溢,PH,7.0
236,空落落,NB,0.0
237,枯寂,NN,-5.0
238,苦口,NB,0.0
239,狂恣,NN,-9.0
240,老辣,NN,-5.0
241,肋脦,NN,-7.0
242,哩哩罗罗,NN,-3.0
243,凛然,PH,7.0
244,伶仃,NB,0.0
245,令人厌倦,NN,-7.0
246,碌碌无为,NN,-7.0
247,马马虎虎,NN,-5.0
248,莽莽撞撞,NN,-5.0
249,没骨头,NN,-7.0
250,没两下子,NN,-7.0
251,没心眼儿,NN,-3.0
252,迷糊,NE,0.0
253,模棱两可,NN,-5.0
254,少见多怪,NN,-3.0
255,难上难,NE,-5.0
256,一塌糊涂,NN,-9.0
257,只顾自身利益,NN,-9.0
258,一个心眼儿,PH,9.0
259,一级,PH,9.0
260,有头脑,PH,9.0
261,欣欣向荣,PH,9.0
262,难驯服,NN,-3.0
263,闹闹嚷嚷,NN,-7.0
264,贫寒,NB,0.0
265,铺张浪费,NN,-7.0
266,奇丑无比,NN,-9.0
267,气壮如牛,PH,3.0
268,清苦,NB,0.0
269,穷途潦倒,NN,-7.0
270,缺乏幽默,NN,-5.0
271,弱智,NN,-9.0
272,色迷迷,NN,-9.0
273,傻里傻气,NN,-5.0
274,神不知，鬼不觉,NN,0.0
275,失落,,0.0
276,食古不化,NN,-7.0
277,喧天,NE,-9.0
278,丰姿绰约,PH,5.0
279,捉摸不定,NN,-9.0
280,特等,PA,0.0
281,肝胆过人,PH,3.0
282,高档化,PH,3.0
283,高深莫测,PH,0.0
284,革命性,PH,3.0
285,功德无量,PH,7.0
286,古朴,PB,3.0
287,过得硬,PH,3.0
288,很有抱负,PH,5.0
289,数一数二,PH,7.0
290,花容月貌,PH,5.0
291,受吃,PB,3.0
292,史无前例,PH,7.0
293,圣礼,PD,0.0
294,滑天下之大稽,NN,-7.0
295,生死不渝,PH,0.0
296,深入人心,PH,5.0
297,擅场,PH,9.0
298,上赶,NN,-7.0
299,井然有序,PH,5.0
300,举足轻重,PH,5.0
301,人寿年丰,PH,7.0
302,俊俏,PH,5.0
303,确凿无疑,PG,0.0
304,确定,PG,0.0
305,老成练达,PH,
306,鼠胆,NN,-9.0
307,强势,PH,0.0
308,浅显,NN,0.0
309,心胸狭隘,NN,-9.0
310,性格内向,NN,-9.0
311,千姿百态,PH,7.0
312,气度恢宏,PH,9.0
313,起眼儿,PH,0.0
314,越轨,NN,-9.0
315,令人大开眼界,PH,3.0
316,完美无疵,PH,9.0
317,朴实无华,PH,3.0
318,无上光荣,PH,9.0
319,有嘴无心,PH,9.0
320,逸乐,PH,9.0
321,心宽,PH,9.0
322,无污染,PH,9.0
323,无拘束,PH,9.0
324,闻过则喜,PH,9.0
325,谈吐不俗,PH,9.0
326,名副其实,PH,5.0
327,喷香,PB,3.0
328,哀莫大于心死,NB,-9.0
329,安邦定国,PH,9.0
330,金瓯无缺,PH,7.0
331,我武惟扬,PH,9.0
332,乃心王室,PH,9.0
333,尽忠报国,PH,9.0
334,杀身报国,PH,9.0
335,忧国忘身,PH,9.0
336,济世经邦,PH,9.0
337,兴利除弊,PH,9.0
338,猫鼠同处,ND,-9.0
339,四海鼎沸,NE,-7.0
340,出疆载质,NN,-9.0
341,委国听令,NN,-9.0
342,国步艰难,NB,-7.0
343,立国安邦,PH,9.0
344,溽热,NN,-1.0
345,欢快,PA,5.0
346,如意,PA,3.0
347,得志,PA,3.0
348,好日子,PH,5.0
349,欢娱,PA,5.0
350,庆幸,PA,3.0
351,喜气,PA,5.0
352,兴高采烈,PA,7.0
353,快意,PA,5.0
354,艳福,PA,0.0
355,乐陶陶,PA,5.0
356,逗人,PA,5.0
357,眉开眼笑,PA,5.0
358,笑逐言开,PA,5.0
359,距跃三百,PA,7.0
360,鹊笑鸠舞,PA,7.0
361,神采飞扬,PA,5.0
362,忍俊不禁,PA,0.0
363,嫣然,PA,5.0
364,笑噱,PA,0.0
365,和颜悦色,PA,5.0
366,胡敲梆子乱击磬－欢喜若狂,PA,0.0
367,新媳妇怀孕－暗喜,PA,0.0
368,侥幸,PA,0.0
369,五世其昌,PK,5.0
370,安乐窝,PA,3.0
371,偏爱,PB,0.0
372,挂牵,PB,3.0
373,偏疼,NN,-3.0
374,娇惯,NN,-5.0
375,流连,PB,0.0
376,顾惜,PB,0.0
377,垂爱,PB,0.0
378,乐此不疲,PB,0.0
379,兴味,PB,0.0
380,稀罕,PB,5.0
381,一见钟情,PB,0.0
382,挺拔,PH,5.0
383,歆慕,PB,0.0
384,心动,PB,0.0
385,温顺,PH,1.0
386,不忍释手,PB,7.0
387,眷注,PB,0.0
388,束身自修,PB,1.0
389,难舍难分,PB,5.0
390,老牛舔犊,PB,7.0
391,渴望,PK,0.0
392,热望,PK,0.0
393,乖乖,PB,5.0
394,和暖,PH,3.0
395,温软,PH,1.0
396,温情脉脉,PB,5.0
397,可口,PH,1.0
398,奇妙,PC,0.0
399,尊崇,PD,9.0
400,崇敬,PD,7.0
401,称颂,PH,5.0
402,传颂,PH,5.0
403,颂扬,PD,7.0
404,先烈,PF,3.0
405,恭谨,PD,5.0
406,万寿无疆,PK,5.0
407,福寿年高,PK,3.0
408,老前辈,PD,0.0
409,从善如流,PH,5.0
410,尊贵,PD,5.0
411,拜恳,PK,3.0
412,鼻祖,PD,7.0
413,和婉,PH,3.0
414,怡和,PA,0.0
415,和顺,PH,5.0
416,娴静,PE,1.0
417,安逸,PA,0.0
418,安居乐业,PE,5.0
419,安适,PE,5.0
420,思念,PF,0.0
421,望眼欲穿,PF,9.0
422,引人深思,PF,0.0
423,妥靠,PG,3.0
424,铁定,PG,0.0
425,活脱脱,PH,5.0
426,白璧无暇,PH,9.0
427,标兵,PH,5.0
428,不同凡响,PH,9.0
429,诚挚,PH,5.0
430,出色,PH,5.0
431,恳挚,PH,5.0
432,令人鼓舞,PH,5.0
433,豪兴,PH,7.0
434,善始善终,PH,5.0
435,果断,PH,5.0
436,机智,PH,5.0
437,健美,PH,1.0
438,侃侃而谈,PH,3.0
439,淳朴,PH,5.0
440,大显神通,PH,5.0
441,动听,PH,5.0
442,丰碑,PH,7.0
443,刚毅,PH,5.0
444,夸奖,PH,5.0
445,肯切,PH,3.0
446,力挽狂澜,PH,7.0
447,流芳百世,PH,9.0
448,美不胜收,PH,5.0
449,感人肺腑,PH,3.0
450,敏捷,PH,5.0
451,能干,PH,5.0
452,果敢,PH,5.0
453,挺秀,PH,5.0
454,娇娆,PH,5.0
455,妙趣横生,PA,3.0
456,披荆斩棘,PH,7.0
457,气吞山河,PH,7.0
458,前赴后继,PH,7.0
459,勤勉,PH,1.0
460,热诚,PH,5.0
461,日新月异,PH,5.0
462,神采奕奕,PH,5.0
463,盛名,PH,9.0
464,理解,PH,0.0
465,大义灭亲,PH,0.0
466,忠心,PH,5.0
467,坦率,PH,5.0
468,推心置腹,PH,5.0
469,文从字顺,PH,5.0
470,无微不至,PH,7.0
471,闻名遐迩,PH,7.0
472,严明,PH,1.0
473,硬朗,PH,3.0
474,优美,PH,5.0
475,惊佩,PH,5.0
476,整洁,PH,5.0
477,周到,PH,5.0
478,节烈,PH,5.0
479,慈善,PH,5.0
480,正大,PH,5.0
481,堂堂正正,PH,7.0
482,朴直,PH,5.0
483,洁身自好,PH,5.0
484,笃厚,PH,5.0
485,憨厚,PH,5.0
486,妥实,PH,5.0
487,执着,PH,5.0
488,不屈,PH,5.0
489,勇武,PH,5.0
490,初生牛犊,PH,3.0
491,大度,PH,5.0
492,虚心,PH,5.0
493,浩气,PH,5.0
494,悃诚,PH,5.0
495,肝胆相照,PG,7.0
496,天公地道,PH,5.0
497,儒雅,PH,5.0
498,赳赳,PH,5.0
499,好强,PH,5.0
500,道德,PH,5.0
501,倜傥,PH,5.0
502,安分,PH,5.0
503,脆生,PH,3.0
504,赞扬,PH,5.0
505,矢志不渝,PH,7.0
506,旱苗得雨,PA,0.0
507,假以辞色,PH,3.0
508,亲切,PH,5.0
509,神韵,PH,5.0
510,含蓼问疾,PH,5.0
511,情同骨肉,PB,0.0
512,精确,PH,0.0
513,凉爽,PH,0.0
514,深思熟虑,PH,0.0
515,繁华,PH,5.0
516,健壮,PH,3.0
517,辽阔,PH,3.0
518,轻捷,PH,3.0
519,适当,PH,5.0
520,香喷喷,PH,5.0
521,雄厚,PH,5.0
522,准确,PH,5.0
523,清洌,PH,3.0
524,宽大为怀,PH,5.0
525,代代红,PH,5.0
526,急若流星,NI,0.0
527,舍己救人,PH,5.0
528,匡救,PH,5.0
529,驰援,PH,5.0
530,咏赞,PH,7.0
531,称道,PH,5.0
532,赞叹不已,PH,7.0
533,娟秀,PH,5.0
534,秀媚,PH,5.0
535,分外夺目,PH,5.0
536,毫不利己,PH,5.0
537,廉明,PH,5.0
538,道不拾遗,PH,5.0
539,圣人,PH,9.0
540,贤良,PH,5.0
541,势不可当,PH,5.0
542,惊天动地,PC,0.0
543,准儿,PH,3.0
544,其味无穷,PH,0.0
545,入木三分,PH,7.0
546,流芳千古,PH,9.0
547,声名远播,PH,7.0
548,有头有脸,PH,5.0
549,精美绝伦,PH,9.0
550,独占鳌头,PH,7.0
551,一枝独秀,PH,7.0
552,独具匠心,PH,7.0
553,鹤立鸡群,PH,9.0
554,不赖,PH,3.0
555,钢铁长城,PH,5.0
556,帮扶,PH,3.0
557,宝地,PH,7.0
558,报答,PH,5.0
559,辈出,PH,3.0
560,愤懑,,-5.0
561,悲愤,,0.0
562,勃然大怒,,0.0
563,含怒,,0.0
564,恼羞成怒,,0.0
565,忿怒,,0.0
566,七窍生烟,,0.0
567,发标,,0.0
568,怒容,,0.0
569,吹胡子,,0.0
570,唱老生的生气－吹胡子瞪眼镜,,0.0
571,暴跳如雷,,-9.0
572,戟指怒目,,-7.0
573,怒形于色,,-3.0
574,怒目切齿,,-5.0
575,城下之盟,NE,-7.0
576,悲恸,NB,0.0
577,悲哀,NB,0.0
578,悲伤,NB,0.0
579,衔冤,NE,0.0
580,心如刀割,NB,0.0
581,痛惜,NB,0.0
582,悲酸,NB,0.0
583,举目无亲,NB,0.0
584,洒泪,NB,0.0
585,啜泣,NB,0.0
586,号啕,NB,0.0
587,最后一根稻草,NI,0.0
588,抚髀兴叹,NB,-3.0
589,参辰卯酉,ND,0.0
590,倒霉,NB,0.0
591,哀感天地,NB,0.0
592,惨不忍闻,NB,0.0
593,不胜其苦,NB,0.0
594,叹息,NJ,0.0
595,悲号,NB,0.0
596,诚惶诚恐,NC,0.0
597,魂飞魄散,NC,0.0
598,面如土色,NC,0.0
599,疑惧,NC,0.0
600,幽灵,NC,0.0
601,三伏天发抖－不寒而栗,NC,0.0
602,吞吞吐吐,NN,-3.0
603,不可终日,NC,0.0
604,栗栗危惧,NC,0.0
605,夏日可畏,NC,-3.0
606,败类,NN,7.0
607,剥削,ND,-3.0
608,猖獗,ND,-3.0
609,臭架子,ND,-1.0
610,苟延残喘,ND,-1.0
611,悍然,NN,-5.0
612,伎俩,ND,-3.0
613,党羽,ND,-3.0
614,讹诈,ND,-5.0
615,飞扬跋扈,NN,-3.0
616,复辟,ND,-1.0
617,老狐狸,ND,-7.0
618,笼络,ND,-3.0
619,厌恶,ND,-7.0
620,可憎,ND,-7.0
621,叛徒,ND,-5.0
622,欺凌,ND,-3.0
623,敲诈,ND,-5.0
624,屈辱,ND,-3.0
625,轻蔑,ND,-7.0
626,撒赖,NN,-3.0
627,伤天害理,NN,-9.0
628,为所欲为,ND,-5.0
629,乌合之众,ND,-5.0
630,吸血鬼,ND,-7.0
631,阴谋,ND,-5.0
632,指鹿为马,NN,-5.0
633,罪有应得,ND,-5.0
634,看轻,ND,-1.0
635,兽行,ND,-7.0
636,贪色,NN,-3.0
637,作践,ND,-9.0
638,凶相毕露,ND,-5.0
639,棺材老板咬牙－恨不死人,ND,-3.0
640,行同狗彘,ND,-7.0
641,视如寇仇,ND,-7.0
642,切齿腐心,ND,-9.0
643,令人作呕,ND,-9.0
644,不以为然,ND,-7.0
645,文人相轻,ND,-3.0
646,王八蛋,ND,-7.0
647,姘妇,ND,-3.0
648,揶揄,ND,-3.0
649,癞皮狗,ND,-7.0
650,元凶,ND,-3.0
651,妖孽,ND,-7.0
652,骚货,ND,-9.0
653,中伤,ND,-5.0
654,嘈杂,NN,-1.0
655,苦恼,NE,0.0
656,犯愁,NE,0.0
657,颓然,NE,0.0
658,忍气吞声,NE,0.0
659,不耐烦,NE,0.0
660,焦炙,NE,0.0
661,疑念,NE,0.0
662,愧恨,NE,0.0
663,沉寂,NE,0.0
664,愁肠寸断,NE,-9.0
665,忧心如薰,NE,-7.0
666,生吞蜈蚣－百爪挠心,NE,-9.0
667,贫穷,NE,0.0
668,无所措手足,NE,-5.0
669,不如意事常八九,NE,-3.0
670,燥热,NE,-3.0
671,将就,NE,0.0
672,羞愧,NG,0.0
673,脸红,NG,0.0
674,无面目见江东父老,NG,-9.0
675,抱愧,NH,0.0
676,愧怍,NH,0.0
677,悔恨,NH,0.0
678,涵容,PK,0.0
679,愧悔无地,NH,0.0
680,船到江心补漏迟,NH,-9.0
681,慌乱,NI,0.0
682,如坐针毡,NE,0.0
683,心焦,NE,0.0
684,张皇,NI,-3.0
685,浮躁,NE,-5.0
686,周章,NE,0.0
687,心如悬旌,NI,-5.0
688,鞋里长草－慌了脚,NI,0.0
689,紧急,NI,0.0
690,五色无主,NI,0.0
691,脚忙手乱,NI,-5.0
692,心如火焚,NE,-9.0
693,死心,NJ,0.0
694,心灰意冷,NJ,0.0
695,不可企及,NJ,-7.0
696,怀揣冰棍－凉透心,NJ,0.0
697,嫉妒,NK,-7.0
698,醋意,NK,-1.0
699,忧人发迹怕自穷,NC,0.0
700,猜忌,NL,-5.0
701,疑团,NL,0.0
702,田里的蚯蚓－满肚疑,NL,0.0
703,败家子,NN,-7.0
704,闭门造车,NN,-5.0
705,草包,NN,-7.0
706,乘人之危,NN,-5.0
707,记仇,NN,-5.0
708,妄求,NN,-3.0
709,累世通好,PH,5.0
710,人浮于事,NN,-7.0
711,繁荣昌盛,PH,7.0
712,鸿均之世,PH,5.0
713,年丰时稔,PH,5.0
714,五风十雨,PH,5.0
715,分崩离析,NJ,-5.0
716,人欲横流,NN,-7.0
717,拨乱反治,PH,5.0
718,秋荼密网,NN,-5.0
719,抑塞磊落,PH,3.0
720,鞭笞天下,PH,7.0
721,腹中兵甲,PH,7.0
722,牛刀小试,PH,3.0
723,臣门如市，臣心如水,PH,7.0
724,欺瞒夹账,NN,-9.0
725,卖官鬻狱,NN,-9.0
726,口快心直,PH,1.0
727,夺人所好,NN,-7.0
728,营私舞弊,NN,-7.0
729,缓急相济,PH,3.0
730,久要不忘,PH,7.0
731,言而不渝,PH,7.0
732,卖友求荣,NN,-9.0
733,废奢长俭,PH,7.0
734,宽打窄用,PH,5.0
735,斫雕为朴,PH,9.0
736,金迷纸醉,NN,-9.0
737,天下箸处,NN,-7.0
738,别具只眼,PH,5.0
739,推陈出新,PH,7.0
740,地利人和,PE,5.0
741,一路顺风,PE,5.0
742,难于上天,NJ,0.0
743,矢志不愈,PH,7.0
744,称体裁衣,PH,1.0
745,刚克柔克,PH,1.0
746,知之为知之，不知为不知,PH,3.0
747,唱筹量沙,NE,-1.0
748,以人废言,NN,-5.0
749,越凫楚乙,NN,-5.0
750,东躲西藏,NN,-3.0
751,大相径庭,NN,-5.0
752,判若云泥,NN,-7.0
753,天悬地隔,NN,0.0
754,坠茵落溷,NE,-5.0
755,力疾从公,PH,5.0
756,握蛇骑虎,NC,0.0
757,日暮穷途,NE,0.0
758,一板三眼,PH,5.0
759,山重水复,NE,0.0
760,抱火寝薪,NC,0.0
761,三反四覆,NN,-5.0
762,归全反真,PH,3.0
763,再作冯妇,PH,5.0
764,智者千虑，必有一失,NN,0.0
765,与人为善,PH,5.0
766,同归于尽,NJ,-1.0
767,良工巧匠,PH,5.0
768,艺高胆大,PH,5.0
769,三对六面,PE,0.0
770,火上浇油,NN,-7.0
771,变古易常,PH,5.0
772,先天不足,NN,-1.0
773,道高一尺，魔高一仗,PH,0.0
774,摇身一变,PC,0.0
775,乘风转舵,NN,-5.0
776,以火救火,NN,-3.0
777,海阔天空,PA,5.0
778,善气迎人,PH,1.0
779,珠联璧合,PH,7.0
780,敢怒不敢言,,-5.0
781,麟角凤嘴,PH,7.0
782,致死不悟,NN,-7.0
783,我行我素,NN,-5.0
784,五马分尸,NC,-5.0
785,黄口稚子,NN,-5.0
786,天有不测风云,NC,-3.0
787,茫无头绪,NE,-5.0
788,不知天高地厚,NN,-5.0
789,洞房花烛,PA,5.0
790,干啼湿哭,NB,0.0
791,泣下沾襟,NB,0.0
792,嘘唏不已,NB,0.0
793,三媒六证,PG,0.0
794,哑然失笑,PA,0.0
795,陶猗之家,PH,5.0
796,峻宇雕墙,PH,3.0
797,立锥之地,NN,-1.0
798,赏信罚明,PH,5.0
799,黄道吉日,PA,3.0
800,旁门左道,ND,-7.0
801,大难临头,NC,-5.0
802,骨瘦如柴,NN,-5.0
803,药店飞龙,NN,-5.0
804,不治之症,NN,-5.0
805,披麻戴孝,NB,0.0
806,鳏寡孤独,NB,0.0
807,离群索居,NB,0.0
808,相门有相,PE,0.0
809,驰名天下,PH,9.0
810,名标青史,PH,9.0
811,人死留名,PH,5.0
812,谈笑风生,PH,7.0
813,不经之谈,NN,-3.0
814,混为一谈,NN,-3.0
815,游谈无根,NN,-5.0
816,巧言花语,NN,-5.0
817,口头禅,NN,-3.0
818,多嘴多舌,NN,-5.0
819,唠唠叨叨,NN,-3.0
820,絮絮叨叨,NN,-3.0
821,即即世世,ND,-3.0
822,顾名思义,PH,0.0
823,随时制宜,PH,3.0
824,没齿不忘,PH,7.0
825,顿开茅塞,PA,3.0
826,了若指掌,PG,5.0
827,先知先觉,PH,3.0
828,抚躬责己,PH,5.0
829,隐晦曲折,NN,-3.0
830,耳食之谈,NN,-3.0
831,靠天吃饭,NN,0.0
832,强龙不压地头蛇,NN,-1.0
833,倚官仗势,NN,-5.0
834,不耕而食，不蚕而衣,NN,-3.0
835,欺罔视听,NN,-7.0
836,甜嘴蜜舌,NN,-5.0
837,鸿飞冥冥,PE,5.0
838,前门进虎，后门进狼,NC,-3.0
839,在劫难逃,NC,-5.0
840,草衣木食,NB,-1.0
841,等米下锅,NB,-1.0
842,家道壁立,NB,-3.0
843,纳履踵决,NB,-3.0
844,飞短流长,NN,-5.0
845,薏苡明珠,NE,-5.0
846,利息秋毫,PH,1.0
847,关门闭户,NJ,0.0
848,豺狐之心,NN,-7.0
849,瓜蔓抄,NN,-7.0
850,玉粒桂薪,NE,-3.0
851,债台高筑,NE,-7.0
852,刚毅不讷,PH,7.0
853,无拳无勇,NN,-5.0
854,鞍不离马，甲不离身,PH,5.0
855,枕戈待旦,PH,5.0
856,迟疑不决,NL,-3.0
857,仓卒应战,NI,-9.0
858,犹豫不定,NN,-3.0
859,低首下心,NN,-3.0
860,盖不由己,NE,-3.0
861,锱铢必较,NN,-7.0
862,张公吃酒李公醉,NE,-3.0
863,鼠窜狼奔,ND,-5.0
864,嘴甜心苦,NN,-5.0
865,强盗挂念珠,ND,-7.0
866,见事风生,NN,-5.0
867,报仇雪恨,ND,-7.0
868,招权纳赂,NN,-5.0
869,缓不济急,NI,0.0
870,屏声息气,NC,0.0
871,歧路亡羊,NN,-5.0
872,千了百当,PH,3.0
873,冬扇夏炉,NN,-5.0
874,喧宾夺主,NN,-5.0
875,日月交食,NN,-5.0
876,漏脯充饥,NN,-7.0
877,束手待毙,NN,-5.0
878,抛头露面,NN,-5.0
879,原形毕露,ND,-7.0
880,因祸得福,PE,5.0
881,人民城郭,NB,-5.0
882,联翩而至,PA,0.0
883,自相残杀,NN,-7.0
884,强人所难,NN,-5.0
885,有隙可乘,NN,-3.0
886,欺善怕恶,NN,-7.0
887,肆意横行,NN,-7.0
888,横行天下,NN,-7.0
889,知情不举,NN,-7.0
890,博士买驴,NN,-3.0
891,屦贱踊贵,NN,-3.0
892,结党营私,NN,-9.0
893,招降纳叛,NN,-5.0
894,任其自便,NN,-3.0
895,惹祸招殃,NN,-5.0
896,招风惹草,NN,-5.0
897,鼓噪而起,NN,-5.0
898,出乖露丑,NN,-5.0
899,谏鼓谤木,PH,5.0
900,高下在心,PH,3.0
901,殚智竭力,PH,7.0
902,草草收兵,NN,-5.0
903,图谋不轨,NN,-5.0
904,贪欢逐乐,NN,-7.0
905,春深似海,PB,5.0
906,天朗气清,PB,7.0
907,秋高气肃,PB,5.0
908,天府之国,PH,9.0
909,群芳竟艳,PB,5.0
910,绿水青山,PB,7.0
911,光彩耀日,PH,5.0
912,除恶务尽,,0.0
913,评头品足,NN,-5.0
914,胆大包天,NN,-7.0
915,涸泽而渔,NN,-7.0
916,搔头弄姿,ND,-5.0
917,逼上梁山,,0.0
918,反客为主,PH,
919,小试锋芒,PH,3.0
920,左右开弓,PH,3.0
921,出口成章,PH,7.0
922,兼资文武,PH,7.0
923,陆海潘江,PH,9.0
924,七步成诗,PH,7.0
925,神机妙算,PH,9.0
926,胸中甲兵,PH,7.0
927,卓荦超伦,PH,9.0
